
2025-05-20 23:19:04.052332,509c14b6-47d9-42eb-a66b-fc2091b9043f,user,hi
2025-05-20 23:19:04.056162,509c14b6-47d9-42eb-a66b-fc2091b9043f,assistant,"Hello, how can I support you today?"
2025-05-20 23:19:11.482045,509c14b6-47d9-42eb-a66b-fc2091b9043f,user,i am feeling stressed
2025-05-20 23:19:11.485190,509c14b6-47d9-42eb-a66b-fc2091b9043f,assistant,I'm sorry to hear that. Remember to take deep breaths and try to focus on things that bring you comfort and peace.
2025-05-20 23:19:32.677542,509c14b6-47d9-42eb-a66b-fc2091b9043f,user,i have academic stress
2025-05-20 23:19:32.695964,509c14b6-47d9-42eb-a66b-fc2091b9043f,assistant,"It's normal to feel stressed about academics, remember to take breaks and practice self-care.

📌 UON Tip: For academic help, you can access UON's Academic Support services or visit the library helpdesk."
2025-05-20 23:26:01.182042,509c14b6-47d9-42eb-a66b-fc2091b9043f,user,im feeling overwhelmed dues to academics
2025-05-20 23:26:01.187485,509c14b6-47d9-42eb-a66b-fc2091b9043f,assistant,"It's important to take breaks, prioritize tasks, and reach out for support when needed.

📌 UON Tip: For academic help, you can access UON's Academic Support services or visit the library helpdesk."
2025-05-20 23:51:54.617141,509c14b6-47d9-42eb-a66b-fc2091b9043f,user,give me some exercises for anxiety
2025-05-20 23:51:54.618129,509c14b6-47d9-42eb-a66b-fc2091b9043f,assistant,"Deep breathing exercises, progressive muscle relaxation, and mindfulness meditation can help reduce anxiety."
2025-05-20 23:52:11.166819,509c14b6-47d9-42eb-a66b-fc2091b9043f,user,how to do deep breathing exercise
2025-05-20 23:52:11.168824,509c14b6-47d9-42eb-a66b-fc2091b9043f,assistant,"Take a deep breath in through your nose for a count of four, hold for four, then exhale through your mouth for a count of four."
